"Wells drilled, completed, and drilled but uncompleted (DUC) inventory ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Anadarko,,,,Appalachia,,,, Bakken,,,,  Eagle Ford,,,,Haynesville,,,,Niobrara,,,,Permian,,,,DPR Regions,,
 ,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC,,Drilled,Completed,DUC
2013-12-01 00:00:00,--,--,371,,--,--,1255,,--,--,603,,--,--,994,,--,--,132,,--,--,452,,--,--,663,,--,--,4470
2014-01-01 00:00:00,223,215,379,,132,108,1279,,174,143,634,,334,334,994,,30,35,127,,163,144,471,,583,590,656,,1639,1569,4540
2014-02-01 00:00:00,193,197,375,,168,128,1319,,214,158,690,,382,316,1060,,48,36,139,,172,126,517,,586,519,723,,1763,1480,4823
2014-03-01 00:00:00,203,238,340,,121,178,1262,,216,218,688,,339,384,1015,,44,46,137,,173,186,504,,609,624,708,,1705,1874,4654
2014-04-01 00:00:00,229,235,334,,192,169,1285,,220,207,701,,404,336,1083,,44,54,127,,194,194,504,,661,632,737,,1944,1827,4771
2014-05-01 00:00:00,209,232,311,,188,209,1264,,216,208,709,,363,347,1099,,33,39,121,,202,175,531,,649,628,758,,1860,1838,4793
2014-06-01 00:00:00,225,213,323,,192,204,1252,,237,225,721,,368,351,1116,,34,39,116,,194,186,539,,665,616,807,,1915,1834,4874
2014-07-01 00:00:00,223,214,332,,165,172,1245,,257,243,735,,368,332,1152,,35,50,101,,200,186,553,,613,601,819,,1861,1798,4937
2014-08-01 00:00:00,227,239,320,,182,192,1235,,229,207,757,,364,365,1151,,34,33,102,,211,184,580,,662,580,901,,1909,1800,5046
2014-09-01 00:00:00,243,238,325,,189,217,1207,,250,232,775,,390,337,1204,,37,37,102,,213,208,585,,677,600,978,,1999,1869,5176
